Date,Frame,Rodposition,Cassette,Rod,Notes,Side
13/3/19,3,11,41,14,,Right
13/3/19,6,16,42,36,,Left
13/3/19,4,9,39,72,,Left
13/3/19,1,13,999,73,,Left
13/3/19,4,2,37,74,,Right
13/3/19,5,9,63,75,,Right
13/3/19,7,3,40,76,,Left
13/3/19,4,2,37,77,,Left
13/3/19,2,4,51,78,,Right
13/3/19,1,9,68,79,,Right
13/3/19,1,9,68,80,,Left
13/3/19,7,1,44,81,,Left
13/3/19,7,1,44,82,Casettte facing wrong direction ,Right
13/3/19,7,3,40,83,,Right
13/3/19,2,11,69,84,,Right
13/3/19,6,6,52,85,,Left
13/3/19,6,16,42,87,,Right
13/3/19,2,6,66,88,,Left
13/3/19,2,4,51,89,,Left
13/3/19,2,6,66,90,Check positioning of rods ,Right
13/3/19,5,6,45,91,,Left
13/3/19,2,11,69,92,,Left
13/3/19,6,6,52,93,Check positioning of rods ,Right
13/3/19,3,13,43,94,,Right
13/3/19,5,9,63,95,,Left
13/3/19,6,11,38,96,Check positioning of rods ,Right
13/3/19,1,13,999,97,,Right
13/3/19,5,6,45,98,,Right
13/3/19,3,13,43,99,,Left
13/3/19,1,4,59,100,,Left
13/3/19,3,6,998,101,,Left
13/3/19,1,4,59,102,Check positioning of rods ,Right
13/3/19,3,6,998,103,,Right
13/3/19,3,9,49,104,?? Cassette facing wrong direction ,Right
13/3/19,5,13,58,105,,Left
13/3/19,5,13,58,106,,Right
13/3/19,2,9,60,107,,Left
13/3/19,2,9,60,108,,Right
13/3/19,2,13,61,109,,Right
13/3/19,3,9,49,110,,Left
13/3/19,7,7,62,111,,Left
13/3/19,7,7,62,112,Check positioning of rods ,Right
13/3/19,4,6,75,113,,Left
13/3/19,7,14,50,114,,Right
13/3/19,5,2,74,115,,Right
13/3/19,5,2,74,116,,Left
13/3/19,4,6,75,117,,Right
13/3/19,7,14,50,118,,Left
13/3/19,2,13,61,119,,Left
13/3/19,1,2,64,120,Check positioning of rods ,Right
13/3/19,1,11,36,121,,Left
13/3/19,1,11,36,122,,Right
13/3/19,2,2,54,123,,Right
13/3/19,5,11,55,124,,Left
13/3/19,3,2,72,125,Right rod= mix of Yellow lables,Right
13/3/19,6,4,67,126,,Right
13/3/19,5,11,55,127,,Right
13/3/19,5,4,56,128,Left rod= rod of green slashes ,Right
13/3/19,3,4,57,129,,Left
13/3/19,1,6,71,131,,Left
13/3/19,6,2,48,132,,Left
13/3/19,7,10,70,133,,Left
13/3/19,7,10,70,134,,Right
13/3/19,3,4,57,135,,Right
13/3/19,2,2,54,136,,Left
13/3/19,4,13,46,137,,Left
13/3/19,4,4,53,138,,Left
13/3/19,1,6,71,139,Check positioning of rods ,Right
13/3/19,6,2,48,140,,Right
13/3/19,4,13,46,141,Check positioning of rods ,Right
13/3/19,6,4,67,142,,Left
13/3/19,6,11,38,143,,Left
13/3/19,4,9,39,145,,Right
13/3/19,3,11,41,146,,Left
13/3/19,6,14,63,147,,Left
13/3/19,6,14,63,148,(on data sheet = two right rods labelled presume 48 is R) ,Right
13/3/19,4,11,73,149,,Left
13/3/19,1,2,64,150,,Left
13/3/19,4,11,73,151,Check positioning of rods ,Right
13/3/19,3,2,72,,,Left
13/3/19,4,4,53,,,Right
13/3/19,5,4,56,,,Left
13/3/19,7,16,47,,NO TAGS or either rod. Cassette states yellow? ,Right
13/3/19,7,16,47,,,Left